chris-ec2-terraform [PUBLIC IP : 3.88.57.34 , ID: i-08eea41a12dd6ee86 , AZ: us-east-1b]
chris-ec2-terraform [PUBLIC IP : 18.204.213.222 , ID: i-0251bce211350e531 , AZ: us-east-1b]
chris-ec2-terraform [PUBLIC IP : 54.196.154.102 , ID: i-035cefdb6db4c99ba , AZ: us-east-1b]
chris-ec2-terraform [PUBLIC IP : 54.86.79.238 , ID: i-0cb4f416b5787185c , AZ: us-east-1b]
chris-ec2-terraform [PUBLIC IP : 3.92.177.103 , ID: i-0e1926ff6c10f5240 , AZ: us-east-1b]
chris-ec2-terraform [PUBLIC IP : 44.202.70.212 , ID: i-05c78e01b691ebde1 , AZ: us-east-1b]
chris-ec2-terraform [PUBLIC IP : 3.92.231.207 , ID: i-080578c195b8593d0 , AZ: us-east-1b]
chris-ec2-terraform [PUBLIC IP : 18.205.105.85 , ID: i-0092a939c24d13f45 , AZ: us-east-1b]
chris-ec2-terraform [PUBLIC IP : 3.88.217.64 , ID: i-07cb99af92bc9f969 , AZ: us-east-1b]
chris-ec2-terraform [PUBLIC IP : 54.210.82.26 , ID: i-0470fa3225781c7de , AZ: us-east-1b]
chris-ec2-terraform [PUBLIC IP : 35.174.170.84 , ID: i-0b1020c4b4605d7b2 , AZ: us-east-1b]
chris-ec2-terraform [PUBLIC IP : 44.193.26.106 , ID: i-038bf14cda9314221 , AZ: us-east-1a]
chris-ec2-terraform [PUBLIC IP : 44.193.213.140 , ID: i-0f9a41be11ea6f85d , AZ: us-east-1a]
chris-ec2-terraform [PUBLIC IP : 3.237.51.113 , ID: i-0fdf99d1ccb708f14 , AZ: us-east-1a]
